first_name,last_name,email,password,group,education,skills
c26 first name,c26 last name,c26@email.com,password,0,['tertiary'],"['All Education & Training ', 'Banking & Finance Law', 'COO & MD', 'Teaching - Secondary', 'Public Transport & Taxi Services', 'Management - Department/Assistant', 'Nannies & Babysitters', 'Telecommunications', 'Strategy & Planning', 'Architectural Drafting']"
c27 first name,c27 last name,c27@email.com,password,0,['tertiary'],"['Printing & Publishing Services', 'Management - Area/Multi-site', 'Construction Law']"
c28 first name,c28 last name,c28@email.com,password,0,['PhD'],"['Landscape Architecture', 'Computer Operators', 'Chemical Engineering', 'Butchers', 'Printing & Publishing Services', 'All Construction ', 'Consulting & Strategy']"
c29 first name,c29 last name,c29@email.com,password,0,['secondary'],"['Public Relations & Corporate Affairs', 'Government - State ', 'Performing Arts', 'Accounts Payable', 'Art Direction', 'Automotive Engineering', 'Promotions', 'Stockbroking & Trading', 'Chemical Engineering']"
c30 first name,c30 last name,c30@email.com,password,0,['MBA'],"['Accounts Payable', 'Air Force', 'Audit - External', 'Industrial & Employee Relations', 'Accounts Receivable/Credit Control', 'Sales - Pre & Post', 'Bakers & Pastry Chefs', 'Records Management & Document Control']"
c31 first name,c31 last name,c31@email.com,password,0,['secondary'],['Body Corporate & Facilities Management']
c32 first name,c32 last name,c32@email.com,password,0,['tertiary'],"['Pickers & Packers', 'Housing & Homelessness Services']"
c33 first name,c33 last name,c33@email.com,password,0,['MBA'],"['Technicians ', 'All Sales ', 'Team Leaders', 'Nursing - Paediatric & PICU', 'Airlines', 'Taxation', 'Dental ']"
c34 first name,c34 last name,c34@email.com,password,0,['apprenticeship'],"['Personal Injury Law', 'Carpentry & Cabinet Making ', 'Other', 'Locksmiths', 'Promotions', 'Management', 'Other', 'Nursing - Psych, Forensic & Correctional Health', 'Emergency Services']"
c35 first name,c35 last name,c35@email.com,password,0,['apprenticeship'],"['Analysis & Reporting', 'Compliance & Risk', 'Teaching - Tertiary', 'Contracts Administration', 'Tailors & Dressmakers']"
c36 first name,c36 last name,c36@email.com,password,0,['apprenticeship'],"['Event Management', 'Farm Labour', 'Other', 'Architecture']"
c37 first name,c37 last name,c37@email.com,password,0,['MBA'],['Employment Services']
c38 first name,c38 last name,c38@email.com,password,0,['tertiary'],"['Buying', 'Telecommunications', 'All Sales ', 'Management - Store ', 'Programme & Project Management']"
c39 first name,c39 last name,c39@email.com,password,0,['tertiary'],['Landscape Architecture']
c40 first name,c40 last name,c40@email.com,password,0,['apprenticeship'],"['All Science & Technology', 'Claims', 'Clinical/Medical Research', 'Sales - Outbound', 'Agency Account Management', 'Product Management & Development', 'Air Force', 'Tour Guides', 'Criminal & Civil Law']"
c41 first name,c41 last name,c41@email.com,password,0,['none'],"['All Education & Training ', 'Other', 'Telecommunications', 'Research & Fellowships']"
c42 first name,c42 last name,c42@email.com,password,0,['masters'],"['Cleaning Services', 'Systems Engineering', 'Merchandisers', 'Water & Waste Engineering', 'Trade Marketing', 'Programme & Project Management', 'Other', 'Government - Local ']"
c43 first name,c43 last name,c43@email.com,password,0,['MBA'],"['Criminal & Civil Law', 'Medical Specialists', 'Other']"
c44 first name,c44 last name,c44@email.com,password,0,['MBA'],['Foreperson/Supervisors']
c45 first name,c45 last name,c45@email.com,password,0,['masters'],"['Underwriting', 'All Information & Communication Technology ', 'Industrial Design', 'Sales - Pre & Post', 'Nursing - Community, Maternal & Child Health']"
c46 first name,c46 last name,c46@email.com,password,0,['none'],"['Teaching - Early Childhood', 'Insurance & Superannuation Law', 'Credit', 'Butchers', 'General Practitioners', 'Indigenous & Multicultural Services', 'All Science & Technology']"
c47 first name,c47 last name,c47@email.com,password,0,['masters'],"['Public Transport & Taxi Services', 'Fitters, Turners & Machinists', 'Body Corporate & Facilities Management', 'All Farming, Animals & Conservation ', 'Legal Secretaries']"
c48 first name,c48 last name,c48@email.com,password,0,['secondary'],"['Research & Fellowships', 'General Practitioners', 'Other', 'Claims']"
c49 first name,c49 last name,c49@email.com,password,0,['apprenticeship'],"['Other', 'Welders & Boilermakers ', 'All Banking & Financial Services ', 'Accounts Officers/Clerks', 'Employment Services', 'Management & Support', 'Horticulture', 'Project Management', 'Analysis & Reporting']"
c50 first name,c50 last name,c50@email.com,password,0,['tertiary'],"['Nursing - Psych, Forensic & Correctional Health', 'Maintenance & Handyperson Services', 'Fleet Management', 'Data Entry & Word Processing', 'Project Management', 'Contracts Administration', 'Management', 'Gaming', 'Reservations']"
c51 first name,c51 last name,c51@email.com,password,0,['masters'],"['Government - State ', 'Journalism & Writing', 'Industrial Relations & Employment Law', 'Sales Representatives/Consultants ']"
c52 first name,c52 last name,c52@email.com,password,0,['none'],"['All Retail & Consumer Products ', 'Internal Communications', 'Painters & Sign Writers', 'Payroll', 'Assessment', 'Employment Services', 'Surveying']"
c53 first name,c53 last name,c53@email.com,password,0,['secondary'],"['Labourers ', 'Inventory & Fixed Assets', 'Public Transport & Taxi Services', 'Front Office & Guest Services', 'Occupational Health & Safety', 'Contracts Administration']"
c54 first name,c54 last name,c54@email.com,password,0,['MBA'],"['Carpentry & Cabinet Making ', 'Inventory & Fixed Assets', 'Management', 'Mining - Exploration & Geoscience', 'Team Leaders/Supervisors', 'Aged & Disability Support ', 'Public Relations & Corporate Affairs', 'Butchers', 'Brokerage']"
c55 first name,c55 last name,c55@email.com,password,0,['PhD'],"['All Sales ', 'Mining - Exploration & Geoscience', 'Housing & Homelessness Services', 'All Human Resources & Recruitment ', 'Other', 'Natural Therapies & Alternative Medicine', 'Research & Fellowships', 'Management - Department/Assistant']"
c56 first name,c56 last name,c56@email.com,password,0,['masters'],['Security Services']
c57 first name,c57 last name,c57@email.com,password,0,['none'],"['Legal Practice Management', 'Client Services', 'Other', 'Sales Coordinators']"
c58 first name,c58 last name,c58@email.com,password,0,['tertiary'],['All Administration & Office Support ']
c59 first name,c59 last name,c59@email.com,password,0,['PhD'],['Fitness & Personal Training']
c60 first name,c60 last name,c60@email.com,password,0,['PhD'],"['Banking - Retail/Branch', 'All CEO & General Management']"
c61 first name,c61 last name,c61@email.com,password,0,['none'],"['All Insurance & Superannuation', 'Buying', 'Oil & Gas - Operations', 'Nursing - General Medical & Surgical']"
c62 first name,c62 last name,c62@email.com,password,0,['MBA'],"['Civil/Structural Engineering', 'Management', 'Reservations', 'Brokerage', 'Programme & Project Management', 'All Self Employment', 'All Real Estate & Property ', 'Community Development', 'Funds Management']"
c63 first name,c63 last name,c63@email.com,password,0,['MBA'],"['Engineering - Network', 'Production, Planning & Scheduling', 'Other', 'All Insurance & Superannuation', 'Environment & Planning Law', 'All Marketing & Communications ', 'Systems Accounting & IT Audit', 'Office Management']"
c64 first name,c64 last name,c64@email.com,password,0,['none'],"['Plumbers', 'Telecommunications', 'Promotions', 'Funds Management', 'Financial Planning', 'Consultants', 'Agency Account Management', 'CEO', 'Networks & Systems Administration', 'Other']"
c65 first name,c65 last name,c65@email.com,password,0,['apprenticeship'],"['Mining - Drill & Blast', 'Nannies & Babysitters', 'All Marketing & Communications ', 'Library Services & Information Management', 'Technical Writing', 'Waiting Staff', 'Engineering Drafting', 'Banking - Retail/Branch', 'Farm Management']"
c66 first name,c66 last name,c66@email.com,password,0,['tertiary'],"['Event Management', 'Retail Assistants ', 'Tailors & Dressmakers', 'Administration', 'Community Services & Development', 'All Accounting ', 'All Human Resources & Recruitment ', 'Welders & Boilermakers ', 'Management & Support']"
c67 first name,c67 last name,c67@email.com,password,0,['tertiary'],"['Clinical/Medical Research', 'Performing Arts', 'Public Transport & Taxi Services', 'Pharmaceuticals & Medical Devices', 'All Consulting & Strategy', 'Environment & Sustainability Consulting', 'Programming & Production']"
c68 first name,c68 last name,c68@email.com,password,0,['apprenticeship'],"['Claims', 'Media Strategy, Planning & Buying', 'Fund Administration', 'Materials Sciences', 'Optical', 'Oil & Gas - Production & Refinement', 'Administrative Assistants ', 'Nursing - Psych, Forensic & Correctional Health']"
c69 first name,c69 last name,c69@email.com,password,0,['none'],"['All Consulting & Strategy', 'Gardening & Landscaping', 'Strategy & Planning', 'Actuarial', 'Medical Specialists']"
c70 first name,c70 last name,c70@email.com,password,0,['none'],"['Other', 'Other', 'Contracts Administration', 'All Marketing & Communications ']"
c71 first name,c71 last name,c71@email.com,password,0,['MBA'],"['Trade Marketing', 'All Trades & Services ', 'Compliance & Risk', 'Other', 'Child Welfare, Youth & Family Services ']"
c72 first name,c72 last name,c72@email.com,password,0,['PhD'],"['Management', 'Retail Assistants ', 'Farm Management', 'Customer Service - Call Centre', 'Management', 'Digital & Search Marketing', 'Community Services & Development']"
c73 first name,c73 last name,c73@email.com,password,0,['PhD'],"['Accounts Receivable/Credit Control', 'Intellectual Property Law', 'Risk Consulting', 'Carpentry & Cabinet Making ', 'All Hospitality & Tourism ', 'Networks & Systems Administration', 'Coaching & Instruction']"
c74 first name,c74 last name,c74@email.com,password,0,['masters'],"['Systems Accounting & IT Audit', 'Compliance & Risk', 'Nursing - Midwifery, Neo-Natal, SCN & NICU', 'Superannuation', 'Actuarial', 'Self Employment']"
c75 first name,c75 last name,c75@email.com,password,0,['secondary'],"['Automotive Engineering', 'Teaching - Early Childhood', 'Management - Department/Assistant', 'Journalism & Writing', 'Tax Law', 'Compliance & Risk', 'Research & Fellowships']"
c76 first name,c76 last name,c76@email.com,password,0,['tertiary'],"['Accounts Payable', 'Generalists - In-house', 'Other', 'Natural Therapies & Alternative Medicine', 'Construction Law', 'Training & Development', 'Business Services & Corporate Advisory']"
c77 first name,c77 last name,c77@email.com,password,0,['none'],"['Field Engineering', 'Merchandisers', 'Actuarial']"
c78 first name,c78 last name,c78@email.com,password,0,['secondary'],"['All Manufacturing, Transport & Logistics ', 'Urban Design & Planning', 'Industrial Relations & Employment Law', 'All Sales ', 'Nursing - Community, Maternal & Child Health', 'Import/Export & Customs', 'All Human Resources & Recruitment ', 'Banking - Business', 'Testing & Quality Assurance']"
c79 first name,c79 last name,c79@email.com,password,0,['masters'],"['Landscape Architecture', 'Other', 'Legal Secretaries', 'Sales', 'Medical Specialists', 'Other', 'Front Office & Guest Services', 'Engineering - Software']"
c80 first name,c80 last name,c80@email.com,password,0,['PhD'],"['Planning', 'Recruitment - Internal', 'Other', 'Housekeeping', 'Bookkeeping & Small Practice Accounting', 'Environment & Planning Law', 'Tailors & Dressmakers', 'Process Engineering']"
c81 first name,c81 last name,c81@email.com,password,0,['apprenticeship'],"['Analysis & Reporting', 'Environmental Engineering', 'Event Management', 'Programming & Production', 'Systems Engineering', 'Industrial Relations & Employment Law', 'Fashion & Textile Design', 'Accounts Payable', 'Tailors & Dressmakers', 'Machine Operators']"
c82 first name,c82 last name,c82@email.com,password,0,['PhD'],"['Policy, Planning & Regulation', 'Medical Imaging', 'Management', 'Other', 'Market Research & Analysis', 'Recruitment - Agency']"
c83 first name,c83 last name,c83@email.com,password,0,['masters'],"['Brand Management', 'Ambulance/Paramedics', 'Government - Local ']"
c84 first name,c84 last name,c84@email.com,password,0,['PhD'],"['Tax Law', 'Supervisors', 'Other', 'Chiropractic & Osteopathic', 'Mechanical Engineering']"
c85 first name,c85 last name,c85@email.com,password,0,['masters'],"['Policy, Planning & Regulation', 'Analysis & Reporting', 'Management & Change Consulting', 'Surveying', 'Security Services', 'Other', 'Criminal & Civil Law', 'Veterinary Services & Animal Welfare']"
c86 first name,c86 last name,c86@email.com,password,0,['PhD'],"['Management', 'All Engineering ', 'Front Office & Guest Services', 'Product Management & Development', 'Computer Operators', 'Nursing - Midwifery, Neo-Natal, SCN & NICU']"
c87 first name,c87 last name,c87@email.com,password,0,['apprenticeship'],"['Air Force', 'Pharmacy', 'Financial Managers & Controllers', 'Welders & Boilermakers ', 'Health, Safety & Environment', 'Oil & Gas - Exploration & Geoscience']"
c88 first name,c88 last name,c88@email.com,password,0,['MBA'],"['Environmental Engineering', 'Psychology, Counselling & Social Work ', 'General/Business Unit Manager']"
c89 first name,c89 last name,c89@email.com,password,0,['masters'],"['Web & Interaction Design', 'Stockbroking & Trading', 'Systems Engineering', 'Other', 'Agronomy & Farm Services', 'Residential Leasing & Property Management']"
c90 first name,c90 last name,c90@email.com,password,0,['tertiary'],"['Business Services & Corporate Advisory', 'Accounts Payable', 'Account & Relationship Management', 'Contracts Administration', 'Environmental, Earth & Geosciences', 'Contracts Management', 'Conservation, Parks & Wildlife']"
c91 first name,c91 last name,c91@email.com,password,0,['none'],"['All Information & Communication Technology ', 'Corporate Finance & Investment Banking', 'Pharmaceuticals & Medical Devices', 'Pickers & Packers', 'Bakers & Pastry Chefs', 'Database Development & Administration', 'Other', 'Valuation', 'Medical Specialists']"
c92 first name,c92 last name,c92@email.com,password,0,['apprenticeship'],"['Government - State ', 'Other', 'Other', 'Planning', 'Health, Safety & Environment', 'Audit - Internal']"
c93 first name,c93 last name,c93@email.com,password,0,['tertiary'],['Contracts Management']
c94 first name,c94 last name,c94@email.com,password,0,['none'],['Financial Accounting & Reporting']
c95 first name,c95 last name,c95@email.com,password,0,['apprenticeship'],['Mechanical Engineering']
c96 first name,c96 last name,c96@email.com,password,0,['secondary'],['Help Desk & IT Support']
c97 first name,c97 last name,c97@email.com,password,0,['none'],"['Risk Consulting', 'Self Employment', 'Management - Area/Multi-site', 'Civil/Structural Engineering']"
c98 first name,c98 last name,c98@email.com,password,0,['secondary'],['Bookkeeping & Small Practice Accounting']
c99 first name,c99 last name,c99@email.com,password,0,['apprenticeship'],"['Other', 'Floristry', 'Systems Engineering', 'Other', 'Assistant Accountants', 'All Healthcare & Medical ', 'Commercial Sales, Leasing & Property Mgmt']"
c100 first name,c100 last name,c100@email.com,password,0,['tertiary'],"['Management', 'Other']"
c101 first name,c101 last name,c101@email.com,password,0,['secondary'],"['Other', 'Other', 'Building Trades', 'Residents & Registrars', 'All Insurance & Superannuation', 'Analysts']"
c102 first name,c102 last name,c102@email.com,password,0,['masters'],"['Marketing Communications', 'Taxation', 'New Business Development']"
c103 first name,c103 last name,c103@email.com,password,0,['secondary'],"['Gaming', 'Systems Engineering', 'Oil & Gas - Exploration & Geoscience', 'Emergency Services', 'Generalists - In-house']"
c104 first name,c104 last name,c104@email.com,password,0,['masters'],"['Teaching - Tertiary', 'Warehousing, Storage & Distribution ', 'Actuarial']"
c105 first name,c105 last name,c105@email.com,password,0,['tertiary'],"['Child Welfare, Youth & Family Services ', 'Sales - Pre & Post']"
c106 first name,c106 last name,c106@email.com,password,0,['MBA'],"['Winery & Viticulture', 'Financial Managers & Controllers', 'Project Management', 'Environment & Planning Law', 'Automotive Engineering', 'Oil & Gas - Drilling', 'Teaching - Vocational', 'Housing & Homelessness Services', 'All Administration & Office Support ', 'Security Services']"
c107 first name,c107 last name,c107@email.com,password,0,['tertiary'],"['Banking - Corporate & Institutional', 'Agronomy & Farm Services', 'Payroll', 'Account & Relationship Management', 'Account & Relationship Management', 'Front Office & Guest Services', 'Project Engineering', 'Personal Injury Law', 'Technical Writing', 'Environmental Services']"
c108 first name,c108 last name,c108@email.com,password,0,['MBA'],"['Strategy & Planning', 'Other', 'Psychology, Counselling & Social Work ', 'Surveying', 'Body Corporate & Facilities Management']"
c109 first name,c109 last name,c109@email.com,password,0,['tertiary'],"['Road Transport ', 'All Science & Technology', 'Management - Department/Assistant', 'Product Management & Development', 'All Self Employment', 'Management - Area/Multi-site', 'Conservation, Parks & Wildlife']"
c110 first name,c110 last name,c110@email.com,password,0,['apprenticeship'],"['Welders & Boilermakers ', 'Pathology', 'Nursing - Management', 'Management - Store ', 'Horticulture', 'Employment Services']"
c111 first name,c111 last name,c111@email.com,password,0,['masters'],"['Mathematics, Statistics & Information Sciences', 'Consultants', 'Analysis & Reporting', 'Management', 'Teaching - Secondary', 'Medical Specialists', 'Team Leaders/Supervisors', 'Management', 'Audit - External', 'Aerospace Engineering']"
c112 first name,c112 last name,c112@email.com,password,0,['masters'],['Sales']
c113 first name,c113 last name,c113@email.com,password,0,['PhD'],"['Banking - Corporate & Institutional', 'Purchasing, Procurement & Inventory', 'Chemical Engineering', 'Technical Writing', 'Research & Fellowships']"
c114 first name,c114 last name,c114@email.com,password,0,['masters'],"['Police & Corrections', 'Housekeeping']"
c115 first name,c115 last name,c115@email.com,password,0,['none'],"['All Sport & Recreation', 'Digital & Search Marketing']"
c116 first name,c116 last name,c116@email.com,password,0,['tertiary'],"['Legal Practice Management', 'Kitchen & Sandwich Hands', 'Nannies & Babysitters', 'Analysts', ""Workers' Compensation"", 'Legal Secretaries']"
c117 first name,c117 last name,c117@email.com,password,0,['tertiary'],"['Engineering Drafting', 'Quality Assurance & Control', 'Internal Communications', 'Valuation', 'Client & Sales Administration', 'General/Business Unit Manager', 'Fundraising', 'Mining - Exploration & Geoscience', 'All Design & Architecture']"
c118 first name,c118 last name,c118@email.com,password,0,['PhD'],"['Medical Imaging', 'Payroll', 'Child Welfare, Youth & Family Services ', 'Customer Service - Call Centre', 'Records Management & Document Control', 'Speech Therapy', 'Risk Consulting', 'Actuarial', 'Physiotherapy, OT & Rehabilitation ']"
c119 first name,c119 last name,c119@email.com,password,0,['secondary'],"['General/Business Unit Manager', 'Systems Engineering', 'Treasury']"
c120 first name,c120 last name,c120@email.com,password,0,['masters'],"['Couriers, Drivers & Postal Services', 'Tutoring']"
c121 first name,c121 last name,c121@email.com,password,0,['none'],"['Labourers ', 'Other', 'Other', 'Management', 'Childcare & Outside School Hours Care ', 'Other']"
c122 first name,c122 last name,c122@email.com,password,0,['apprenticeship'],"['All Advertising, Arts & Media']"
c123 first name,c123 last name,c123@email.com,password,0,['tertiary'],"['Management', 'Consulting & Generalist HR']"
c124 first name,c124 last name,c124@email.com,password,0,['masters'],"['Programme & Project Management', 'Other', 'Financial Managers & Controllers', 'Machine Operators', 'Project Engineering', 'Architecture', 'Sales - Inbound', 'Funds Management', 'Management', 'Chefs/Cooks ']"
c125 first name,c125 last name,c125@email.com,password,0,['masters'],"['Management', 'Interior Design', 'Materials Sciences', 'Quality Assurance & Control', 'Assembly & Process Work', 'Other', 'Management - Universities']"
c126 first name,c126 last name,c126@email.com,password,0,['MBA'],"['Public Relations & Corporate Affairs', 'Computer Operators']"
c127 first name,c127 last name,c127@email.com,password,0,['PhD'],"['All Government & Defence ', 'Analysis & Reporting', 'Industrial Engineering']"
c128 first name,c128 last name,c128@email.com,password,0,['masters'],"['Planning', 'Team Leaders/Supervisors', 'Sales']"
c129 first name,c129 last name,c129@email.com,password,0,['secondary'],"['Testing & Quality Assurance', 'Teaching Aides & Special Needs', 'Management', 'Company Secretaries', 'Child Welfare, Youth & Family Services ', 'Marketing Assistants/Coordinators']"
c130 first name,c130 last name,c130@email.com,password,0,['secondary'],"['All Insurance & Superannuation', 'Modelling & Simulation', 'All Science & Technology']"
c131 first name,c131 last name,c131@email.com,password,0,['secondary'],"['Systems Accounting & IT Audit', 'Customer Service - Customer Facing']"
c132 first name,c132 last name,c132@email.com,password,0,['apprenticeship'],"['Purchasing, Procurement & Inventory', 'Financial Planning', 'Illustration & Animation', 'Government - Federal ', 'Mortgages', 'Environmental Services', 'Air Force', 'Other']"
c133 first name,c133 last name,c133@email.com,password,0,['secondary'],"['All Retail & Consumer Products ', 'Telecommunications', 'Tutoring', 'Management', 'Analysis & Reporting', 'Recruitment - Internal', 'Chemical Engineering']"
c134 first name,c134 last name,c134@email.com,password,0,['masters'],"['Clinical/Medical Research', 'Assistant Accountants', 'Fleet Management', 'Childcare & Outside School Hours Care ', 'All Design & Architecture', 'All Trades & Services ', 'Consulting & Generalist HR', 'Brokerage']"
c135 first name,c135 last name,c135@email.com,password,0,['tertiary'],"['Emergency Services', 'All Government & Defence ', 'Natural Therapies & Alternative Medicine', 'Pharmacy', 'Sales Representatives/Consultants ', 'Library Services & Information Management', 'All Hospitality & Tourism ']"
c136 first name,c136 last name,c136@email.com,password,0,['secondary'],"['Mechanical Engineering', 'Strategy & Planning', 'Farm Management', 'Oil & Gas - Exploration & Geoscience', 'Aviation Services', 'Aged & Disability Support ', 'All Administration & Office Support ']"
c137 first name,c137 last name,c137@email.com,password,0,['PhD'],"['Management & Support', 'Pharmaceuticals & Medical Devices', 'All Education & Training ']"
c138 first name,c138 last name,c138@email.com,password,0,['apprenticeship'],"['Residential Leasing & Property Management', 'Horticulture', 'Labourers ', 'All Hospitality & Tourism ', 'Accounts Receivable/Credit Control', 'Marketing Assistants/Coordinators', 'Oil & Gas - Exploration & Geoscience', 'All Retail & Consumer Products ', 'Child Welfare, Youth & Family Services ']"
c139 first name,c139 last name,c139@email.com,password,0,['none'],"['Mechanical Engineering', 'Analysts', 'Planning']"
c140 first name,c140 last name,c140@email.com,password,0,['apprenticeship'],"['Other', 'Industrial Design', 'Buying', 'Management ', 'Fleet Management']"
c141 first name,c141 last name,c141@email.com,password,0,['MBA'],['Bookkeeping & Small Practice Accounting']
c142 first name,c142 last name,c142@email.com,password,0,['masters'],"['Landscape Architecture', 'All Administration & Office Support ', 'Database Development & Administration', 'Client & Sales Administration', 'Management', 'Industrial Design', 'Engineering - Network', 'Purchasing, Procurement & Inventory', 'Farm Labour']"
c143 first name,c143 last name,c143@email.com,password,0,['secondary'],['Sales']
c144 first name,c144 last name,c144@email.com,password,0,['PhD'],"['Government - Local ', 'Navy', 'Digital & Search Marketing', 'Fitters, Turners & Machinists', 'Sales Representatives/Consultants ', 'Property Law', 'Childcare & Outside School Hours Care ', 'Research & Fellowships']"
c145 first name,c145 last name,c145@email.com,password,0,['masters'],"['Oil & Gas - Exploration & Geoscience', 'Analysis & Reporting', 'Banking - Retail/Branch', 'Other', 'Fishing & Aquaculture', 'Management - Schools', 'Teaching - Primary', 'Assistant Accountants']"
c146 first name,c146 last name,c146@email.com,password,0,['MBA'],"['Inventory & Fixed Assets', 'Other', 'Sales - Pre & Post', 'Training & Development', 'Event Management', 'Modelling & Simulation', 'Systems Engineering', 'Butchers', 'Electricians ']"
c147 first name,c147 last name,c147@email.com,password,0,['tertiary'],"['Front Office & Guest Services', 'Account & Relationship Management', 'Other', 'Nursing - Theatre & Recovery', 'Electrical/Electronic Engineering', 'Electricians ', 'Workplace Training & Assessment', 'Optical', 'Management', 'Biological & Biomedical Sciences']"
c148 first name,c148 last name,c148@email.com,password,0,['none'],"['Aged & Disability Support ', 'Industrial Engineering', 'Chemical Engineering', 'Other', 'Training & Development', 'Mining - Processing']"
c149 first name,c149 last name,c149@email.com,password,0,['masters'],"['Sales - Pre & Post', 'Banking & Finance Law']"
c150 first name,c150 last name,c150@email.com,password,0,['masters'],"['Contracts Administration', 'Digital & Search Marketing', 'Treasury', 'Fleet Management', 'Fitness & Personal Training', 'Community Services & Development', 'All Farming, Animals & Conservation ', 'Biotechnology & Genetics']"
c151 first name,c151 last name,c151@email.com,password,0,['secondary'],"['Technicians ', 'Research & Fellowships', 'Bar & Beverage Staff', 'Agency Account Management', 'Settlements', 'Civil/Structural Engineering', 'Other', 'All Construction ']"
