first_name,last_name,email,password,education,latitude,longitude,skills,description
c35 first name,c35 last name,c35@email.com,password,secondary,-33.90617190626631,151.4688587865109,"['Machine Operators', 'Volunteer Coordination & Support', 'Industrial & Employee Relations', 'Audit - External', 'All Real Estate & Property ', 'Developers/Programmers ', 'Recruitment - Internal', 'Strategy & Planning', 'Security', 'Nursing - Community, Maternal & Child Health']",To be a part of an organisation where I can fully utilize my skills and make a significant contribution to growth of organisation and at the same time enhance my experience through continuous learning
c36 first name,c36 last name,c36@email.com,password,none,-33.98945442630896,151.42210703756862,"['Oil & Gas - Engineering & Maintenance', 'Management', 'All Marketing & Communications ', 'General/Business Unit Manager', 'Taxation', 'Administrative Assistants ', 'Systems Engineering', 'Army']",To grow as a writer and an editor by working with a reputed media company and contribute to the growth of that organisation
c37 first name,c37 last name,c37@email.com,password,masters,-33.97017304489511,151.32660741800092,"['Assessment', 'Funds Management', 'Other', 'General Practitioners', 'Database Development & Administration', 'Management', 'Other', 'Other', 'Quality Assurance & Control']",To work in a progressive and challenging environment that will effectively utilize my strong organizational skills and educational background and enable me to make positive contribution to the work
c38 first name,c38 last name,c38@email.com,password,none,-33.752006373894986,151.18564538852922,"['Other', 'Personal Injury Law', 'Administration', 'All CEO & General Management']","To obtain a responsible, challenging, and awarding position in a web developer organization with an established track record where my skills, abilities, and technical abilities can be utilized"
c39 first name,c39 last name,c39@email.com,password,secondary,-34.11078140337817,151.1707615109579,['Surveying'],To pursue a highly challenging career where I can contribute my knowledge and hone my skills
c40 first name,c40 last name,c40@email.com,password,masters,-33.92784016209088,150.8869213722663,"['Generalists - Law Firm', 'Direct Marketing & CRM', 'Product Management & Development', 'Bakers & Pastry Chefs', 'Banking - Retail/Branch', 'Management', 'All Self Employment', 'Other']",To seek highly challenging and satisfying career with exposure and at the same time seek environment where my skills and loyalty will be rewarded with career advancement and guidance
c41 first name,c41 last name,c41@email.com,password,masters,-33.849072245868754,150.9864553486975,"['Strategy & Planning', 'Management - Internal', 'All Information & Communication Technology ']",To be an astute learner and the best performer in the IT industry
c42 first name,c42 last name,c42@email.com,password,secondary,-34.01497601380192,151.48684226221297,"['Direct Marketing & CRM', 'Data Entry & Word Processing', 'Pattern Makers & Garment Technicians', 'Architects', 'Mortgages', 'Recruitment - Internal', 'Recruitment - Agency', 'Product Management & Development']",To obtain a position of responsibilities that utilizes my skills and keen to work in an environment where I can enrich my knowledge and establish my own identity
c43 first name,c43 last name,c43@email.com,password,PhD,-33.86954032065721,150.99266124704505,"['Illustration & Animation', 'Media Strategy, Planning & Buying', 'Commercial Sales, Leasing & Property Mgmt', 'Biological & Biomedical Sciences', 'Building Services Engineering', 'Financial Planning', 'Industrial & Employee Relations']",To secure a challenging position that utilizes my academics skills and contributes to the overall growth of the organization
c44 first name,c44 last name,c44@email.com,password,tertiary,-33.800103651133654,151.0019058255624,"['Engineering Drafting', 'Planning & Scheduling', 'Physiotherapy, OT & Rehabilitation ', 'Volunteer Coordination & Support', 'Systems Engineering', 'Retail & Property Development']","To start my career in a competitive environment, where I can put all my skills to the best possible use and also constantly improve my capabilities and do the best for the company in which ever job allotted to me"
c45 first name,c45 last name,c45@email.com,password,masters,-33.917947290919,150.96923284677283,"['Management', 'Engineering - Hardware', 'Editing & Publishing']","To work in a result oriented, dynamic environment, providing ample opportunities for value addition to the organization and providing challenges, opportunities for sustained personal"
c46 first name,c46 last name,c46@email.com,password,masters,-34.1121645694527,151.22443984874664,"['Trade Marketing', 'Planning', 'Teaching - Secondary', 'Collections', 'Other', 'Ambulance/Paramedics', 'Other', 'Interior Design', 'Family Law', 'Nursing - General Medical & Surgical']",To work in an organization where I could utilize the oppurtunities and encourages me to enhance my personal and organizational goals
c47 first name,c47 last name,c47@email.com,password,postgraduate,-33.68140140630146,150.96852626713104,"['Building Trades', 'Computer Operators', 'Collections', 'Administration', 'Illustration & Animation', 'Materials Sciences', 'Other', 'Reservations']",To contribute meaningful growth and success of the organization by undertaking challenging assignment and deliver timely result using my knowledge and skill
c48 first name,c48 last name,c48@email.com,password,secondary,-33.714529912581256,151.35508482200143,"['Criminal & Civil Law', 'Contracts Administration', 'Retail & Property Development']","To prove myself dedicated and energetic as an employee in a progressive organization where it gives more scope to apply my knowledge and skills and be a member of a team, which dynamically works towards success and growth of an organization"
c49 first name,c49 last name,c49@email.com,password,PhD,-33.62809545807822,151.37350991217525,"['Architecture', 'Plant & Machinery Operators ', 'Analysis & Reporting', 'Self Employment', 'Security Services', 'Personal Injury Law', 'Audit - External', 'Photography']","To seek challenging assignment and responsibility, with an opportunity for growth and career advancement and successful achievements"
c50 first name,c50 last name,c50@email.com,password,PhD,-33.807880094486876,151.40400865531643,"['All Real Estate & Property ', 'Product Management & Development', 'General Practitioners', 'Testing & Quality Assurance', 'Purchasing, Procurement & Inventory']","To seek challenging assignment and responsibility, with an opportunity for growth and career advancement and successful achievements"
c51 first name,c51 last name,c51@email.com,password,postgraduate,-33.81263131791404,150.89408181320735,"['Other', 'Housing & Homelessness Services']",To utilize my technical skills for achieving the target and developing the best performance in the organization
c52 first name,c52 last name,c52@email.com,password,none,-33.952382184437006,151.36396171363924,"['Commercial Sales, Leasing & Property Mgmt', 'Reservations']","To pursue a career in a leading and progressive organization offering opportunities wherein I can utilise my skills, knowledge and qualifications towards the growth of the organisation"
c53 first name,c53 last name,c53@email.com,password,tertiary,-33.846857141582,151.2326689566008,"['Client Services', 'Analysis & Reporting', 'Property Law']","To excel as a software engineer in a job that both challenges and inspires me, while pushing me to work to the best of my abilities and produce the highest quality work that I am capable of"
c54 first name,c54 last name,c54@email.com,password,secondary,-34.03539544017775,151.08773818618633,"['Management - Internal', 'Environmental Services', 'Other', 'Engineering - Hardware', 'Navy', 'Urban Design & Planning', 'Library Services & Information Management', 'Physiotherapy, OT & Rehabilitation ', 'Fund Administration', 'Nursing - Aged Care ']","To be a part of a growing company and build a career alongside well experienced, dedicated and sincere people and ignite my talents as an engineer"
c55 first name,c55 last name,c55@email.com,password,postgraduate,-33.85707678380919,151.11636480364348,"['Teaching - Tertiary', 'Generalists - In-house', 'Engineering - Hardware', 'Art Direction']","To work in a competitive environment that effectively utilizes my analytical, interpersonal, leadership and organizational skills to conceive and achieve solutions"
c56 first name,c56 last name,c56@email.com,password,postgraduate,-33.768578753879524,151.0819902687738,"['All Human Resources & Recruitment ', 'Taxation', 'All Design & Architecture', 'Other', 'Project Management', 'Body Corporate & Facilities Management', 'Medical Specialists', 'Web & Interaction Design', 'Electrical/Electronic Engineering']",To perceive a career in a renowned firm with dedicated efforts and to associate myself with an organization that gives me a chance to update my knowledge
c57 first name,c57 last name,c57@email.com,password,masters,-33.6991380098736,151.0925309869498,"['New Business Development', 'Other', 'Legal Practice Management', 'Graphic Design', 'Technicians ', 'Welders & Boilermakers ']","To work in a firm with a professional work driven environment where I can utilize and apply my knowledge, skills which would enable me as a fresh graduate to grow while fulfilling organizational goals"
c58 first name,c58 last name,c58@email.com,password,PhD,-34.06528146662461,151.08975983546821,"['Bar & Beverage Staff', 'Retail & Property Development', 'Oil & Gas - Engineering & Maintenance', 'Management - Schools', 'Recruitment - Internal', 'Estimating', 'Health, Safety & Environment']",To be an astute learner and the best performer in your organization
c59 first name,c59 last name,c59@email.com,password,none,-33.746545859860426,151.24880996274882,"['Database Development & Administration', 'All Hospitality & Tourism ', 'PA, EA & Secretarial', 'Buying', 'Nursing - Educators & Facilitators']","To work in a firm with a professional work drive environment where I can utilize and apply my knowledge, skills which would enable me as a fresh graduate to grow while fulfilling organizational goals"
c60 first name,c60 last name,c60@email.com,password,none,-33.81855522412729,151.51916283913553,"['Industrial Engineering', 'Mathematics, Statistics & Information Sciences']",To pursue a challenging career and be a part of progressive organization that gives a scope to enhance my knowledge and utilizing my skills towards the growth of the organization
c61 first name,c61 last name,c61@email.com,password,postgraduate,-34.002099674832316,151.0311991148698,['Rail & Maritime Transport'],To qench my thirst of pursing a challenging career in IT field and render my services and to put all my faculties in optimum utilization and to see growth of the organization that will ensure my growth
c62 first name,c62 last name,c62@email.com,password,none,-34.024624034855115,151.0485796911006,"['Front Office & Guest Services', 'Foreperson/Supervisors']","To work as an efficient employee, giving optimum output in achieving the goal of the Organization towards success, by contributing knowledge and professional work attitude"
c63 first name,c63 last name,c63@email.com,password,postgraduate,-33.92275381652692,150.88554488004138,"['Insurance & Superannuation Law', 'All Marketing & Communications ', 'Superannuation', 'Child Welfare, Youth & Family Services ', 'Sales - Pre & Post']",To start the career and take it ahead at higher position with my continuous learning behaviour and positive attitude for the betterment of the organization
c64 first name,c64 last name,c64@email.com,password,masters,-33.67678111304585,151.39761531193884,"[""Workers' Compensation"", 'Process Engineering', 'Natural Therapies & Alternative Medicine', 'Oil & Gas - Engineering & Maintenance', 'Teaching - Early Childhood', 'Modelling & Simulation', 'Project Management', 'Other', 'Quality Assurance & Control', 'Sales Representatives/Consultants ']","To work in a challenging environment that provides opportunity to learn key technologies, be an effective team player in developing, managing projects and to be an asset for the organization by delivering to the best of my capabilities"
c65 first name,c65 last name,c65@email.com,password,secondary,-33.65345144050943,151.28719816877933,"['Import/Export & Customs', 'Landscape Architecture', 'Marketing Assistants/Coordinators', 'Trade Marketing', 'Gaming', 'Other', 'Reservations', 'Management - Area/Multi-site']",To pursue a growth oriented career with a reputed organization that provides a scope to apply my Knowledge and skills that would help me to contribute my best to the organization
c66 first name,c66 last name,c66@email.com,password,PhD,-33.83909985370028,151.14908273847354,"['Public Transport & Taxi Services', 'Public Relations & Corporate Affairs', 'Other', 'Banking - Business', 'Audit - Internal', 'Volunteer Coordination & Support', 'Farm Labour', 'Maintenance']",To seek challenging opportunities where I can fully use my skills for the success of the organization and to develop my knowledge for personal and professional growth
c67 first name,c67 last name,c67@email.com,password,tertiary,-33.67792854768303,151.24756850478366,"['Other', 'Fishing & Aquaculture', 'Training & Development', 'Public Transport & Taxi Services']",To obtain a promising position in Company that will utilize the best of my professional ability in terms of technical and organizational skills to work in a challenging and creative environment and effectively contribute towards the goal of the organization
c68 first name,c68 last name,c68@email.com,password,secondary,-34.008297838144145,151.37671491216847,"['Other', 'Merchandisers', 'Consulting & Generalist HR', 'Process Engineering', 'Environmental, Earth & Geosciences', 'Assessment', 'All Self Employment', 'Office Management']","To work in a firm with professional work driven environment where I can apply knowledge, skills which enables me as a fresh graduate to grow and achieve personal as well as organizational goals"
c69 first name,c69 last name,c69@email.com,password,none,-33.88963403230162,151.16244709784053,"['Ambulance/Paramedics', 'Cleaning Services', 'Interior Design', 'Agency Account Management', 'Plumbers']","To work in an innovative and challenging environment, which is conductive to learn and grow at professional as well as personal level, thereby directing my future endeavors as an asset to the organization"
c70 first name,c70 last name,c70@email.com,password,masters,-33.74923924924226,151.15166994271922,"['Psychology, Counselling & Social Work ', 'Industrial Design', 'Surveying', 'Horticulture', 'Airlines']","To work in a firm with a professional work driven environment where I can utilize and apply my knowledge, skills which would enable me as a fresh graduate to grow while fulfilling organizational goals"
c71 first name,c71 last name,c71@email.com,password,PhD,-33.68730239654728,151.18235256074246,"['Gaming', 'Project Management', 'Systems Engineering', 'Government - Local ', 'Other', 'Aerospace Engineering']","To Secure a challenging and responsible position in a corporate environment in which initiative, skills, ambitions and commitment to excellence are utilized to their full potential"
c72 first name,c72 last name,c72@email.com,password,none,-34.065179567696205,151.33355684891654,"['Computer Operators', 'Web Development & Production', 'Machine Operators', 'All Consulting & Strategy', 'Sales - Outbound', 'Welders & Boilermakers ', 'Technical Writing', 'Analysts', 'Teaching - Primary', 'Consulting & Generalist HR']",To devote myself for a challenging and growth oriented environmental so as to apply my logical skill for the benefit of both organization and mine as well
c73 first name,c73 last name,c73@email.com,password,none,-34.096634003890124,151.26256299469824,"['Mining - Operations', 'Medical Imaging', 'Project Management', 'Management - Schools', 'Records Management & Document Control', 'Other', 'All Hospitality & Tourism ', 'Nursing - A&E, Critical Care & ICU']","To work in an environment where I can use my knowledge and skills to be a supporting factor for the organization as well as bring about an overall growth in me professionally, personally and spiritually"
c74 first name,c74 last name,c74@email.com,password,masters,-33.705890792345095,151.11877286568838,"['All Education & Training ', 'Nannies & Babysitters', 'Media Strategy, Planning & Buying', 'Criminal & Civil Law', 'Marketing Communications', 'Organisational Development']",To contribute my best efforts to the organization with smart work and dedication for the development of the organization
c75 first name,c75 last name,c75@email.com,password,postgraduate,-34.041971517330715,151.3656735915199,['Childcare & Outside School Hours Care '],To work in an environment that inspires personal and professional development to fulfill my potential and aspirations
c76 first name,c76 last name,c76@email.com,password,secondary,-34.01091914218767,151.1412392682432,['Teaching - Secondary'],"To work hard with full dedication for the achievement of organization objective under satisfying job contact, hence enhancing my skill and knowledge and ready to learn new things"
c77 first name,c77 last name,c77@email.com,password,tertiary,-33.790117239089206,151.11678374160547,"['Fleet Management', 'Oil & Gas - Exploration & Geoscience', 'Marketing Assistants/Coordinators', 'Direct Marketing & CRM', 'Teaching Aides & Special Needs', 'Automotive Engineering']","To achieve professional growth while being resourceful, innovative and flexible and work in an innovative and competitive world where I can effectively contribute my skills to deliver my potential and make best use of my efforts to contribute towards the growth of an organization"
c78 first name,c78 last name,c78@email.com,password,secondary,-34.03184639724859,150.9402605525674,"['Underwriting', 'Physiotherapy, OT & Rehabilitation ', 'All Administration & Office Support ', 'Other']","To be a successful and eminent in my discipline and to serve my organization as well as my nation, through my commitment and dedicates smart work"
c79 first name,c79 last name,c79@email.com,password,masters,-33.97766576753503,151.3222037985686,"['Plant & Machinery Operators ', 'Management & Change Consulting', 'Natural Therapies & Alternative Medicine', 'All Education & Training ', 'Settlements', 'Building Trades', 'All Engineering ']",To secure a challenging career and lead a responsible role in your esteemed company and serve the organization with commitment and sincerity
c80 first name,c80 last name,c80@email.com,password,PhD,-33.941491186559084,151.01045407495593,"['Direct Marketing & CRM', 'Civil/Structural Engineering', 'Architects']",To enrich my knowledge by contributing my technical skills and behavioral skills for the development of organization
c81 first name,c81 last name,c81@email.com,password,none,-33.69488431805861,150.94882183413463,"['Illustration & Animation', 'Foreperson/Supervisors', 'Remuneration & Benefits']","To work in an organization where I can utilize and apply my knowledge, skills which would enable me to grow while fulfilling organizational goal"
c82 first name,c82 last name,c82@email.com,password,PhD,-33.68694223872981,151.3296690960992,"['Technical Writing', 'Medical Imaging', 'Bakers & Pastry Chefs', 'Management & Support', 'Treasury']",To find Passion in teaching
c83 first name,c83 last name,c83@email.com,password,postgraduate,-33.75534229748912,151.34442603211681,"['Analysis & Reporting', 'Physiotherapy, OT & Rehabilitation ']",To obtain a challenging position that will utilize strong technical and analytical skills
c84 first name,c84 last name,c84@email.com,password,tertiary,-33.73840035645931,151.19437323356271,"['Horticulture', 'Painters & Sign Writers', 'Account & Relationship Management']",To pursue a career in an organization that gives me an opportunity to prove myself and helps in improving the horizons of my skills and abilities which enables me in scaling the heights of professional excellence and thus make a meaningful contribution to organizational goals
c85 first name,c85 last name,c85@email.com,password,PhD,-33.806717487951644,151.52361268387287,"['Child Welfare, Youth & Family Services ']",To pursue a challenging career and be a part of progressive organization that gives a scope to enhance my knowledge and utilizing my skills towards the growth of the organization
c86 first name,c86 last name,c86@email.com,password,PhD,-33.900498911517204,150.91510171497862,"['Sales - Outbound', 'General/Business Unit Manager', 'Management - Agency', 'Health, Safety & Environment', 'Developers/Programmers ', 'Couriers, Drivers & Postal Services']","To pursue a challenging career in the industry, utilizing my skills for the growth of my organization, which in turn leads to personal and professional growth"
c87 first name,c87 last name,c87@email.com,password,masters,-33.66502781581522,151.30480446744824,"['Quality Assurance & Control', 'Engineering Drafting', 'Other', 'Generalists - Law Firm', 'Accounts Officers/Clerks', 'Aerospace Engineering', 'All Farming, Animals & Conservation ', 'Recruitment - Internal', 'All Administration & Office Support ', 'Supervisors/Team Leaders']","To work in a competitive environment that effectively utilizes my analytical, interpersonal, leadership and organizational skills to conceive and achieve solutions"
c88 first name,c88 last name,c88@email.com,password,tertiary,-34.05184301961061,151.21083010269248,"['Workplace Training & Assessment', 'Other', 'Butchers', 'Audit - External', 'Indigenous & Multicultural Services']","To secure a challenging and responsible position in the corporate environment, in which my initiative, development skills and commitment to excellence will be utilized to their full potential"
c89 first name,c89 last name,c89@email.com,password,postgraduate,-33.854540288882944,150.9285577661085,"['Teaching - Primary', 'Public Transport & Taxi Services', 'Optical', 'Client Services', 'Underwriting', 'Housing & Homelessness Services', 'Aviation Services']","To become member of the core team, where I can contribute my domain knowledge analytical skill and progressive attitude towards consistent growth of the organization"
c90 first name,c90 last name,c90@email.com,password,PhD,-34.044717990178725,151.06230346588777,"['Body Corporate & Facilities Management', 'Sales - Outbound']",To be a fact of a professionally managed organization with scope challenging career opportunity for learning and continuous improvement coupled with the growth of organization individual development
c91 first name,c91 last name,c91@email.com,password,PhD,-33.898022175580984,151.08275885277678,"['Direct Marketing & CRM', 'Indigenous & Multicultural Services', 'Digital & Search Marketing', 'Other', 'Remuneration & Benefits', 'Other', 'Tailors & Dressmakers', 'Banking - Retail/Branch']",To be the part of an organization where my technical skills help in bilateral growth
c92 first name,c92 last name,c92@email.com,password,postgraduate,-33.708119032557335,150.9265226855907,"['Media Strategy, Planning & Buying']","To gain a dynamic and challenging role in the area of industrial Automation, Power and Instrumentation, that will offer be the best opportunity for further development of my abilities, skills and knowledge in an established firm with long term career growth possibilities"
